offset(byte),name(의미),size(bytes),설명,JSON 변환 이름의 의미,,,,,,,,
69,판토_DBS_가선상태,1 ,bit0(2호차판토) bit1(4호차판토) bit2(8호차판토)  bit4(0호차DBS) bit5(9호차DBS)  bit6(가선상태_AC) bit7(가선상태_DC),판토_DBS_가선상태,,,,,,,,
70,예비,1 ,,,,,,,,,,
71,0호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
72,0호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
73,0호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
74,0호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
75,0호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
76,0호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
77,1호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
78,1호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
79,1호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
80,1호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
81,1호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
82,1호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
83,2호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
84,2호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
85,2호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
86,2호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
87,2호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
88,2호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
89,3호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
90,3호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
91,3호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
92,3호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
93,3호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
94,3호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
95,4호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
96,4호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
