offset(byte),name(의미),size(bytes),설명,JSON 변환 이름의 의미,,,,,,,,
277,0호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
279,1호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
281,2호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
283,3호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
285,4호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
287,5호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
289,6호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
291,7호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
293,8호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
295,9호차 냉난방장치,2 ,bit0(냉방기1반냉) bit1(냉방기2FAN) bit2(냉방기1FAN) bit3(냉방기 자동) bit5(3/3난방)  bit6(2/3난방) bit7(1/3난방) bit13(냉방기2 전냉) bit14(냉방기1 전냉) bit15(냉방기2 반냉),호차별 냉난방장치,,,,,,,,
297,0호차 실외 온도값,2 ,화면 출력 시 계산 필요(n/10),호차별 실외온도,,,,,,,,
299,9호차 실외 온도값,2 ,화면 출력 시 계산 필요(n/10),호차별 실외온도,,,,,,,,
301,0호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
302,1호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
303,2호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
304,3호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
305,4호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
306,5호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
307,6호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
308,7호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
309,8호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
310,9호차 설정 온도값,1 ,,호차별 설정 온도,,,,,,,,
311,0호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
312,1호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
313,2호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
314,3호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
315,4호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
316,5호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
317,6호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
318,7호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
319,8호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
320,9호차 공기청정도,1 ,0~15(이하): 좋음 16~35(이하): 보통 36~ : 나쁨,호차별 공기청정도,,,,,,,,
321,0호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
322,1호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
323,2호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
324,3호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
325,4호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
326,5호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
327,6호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
328,7호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
329,8호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
330,9호차 공기청정기 객실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit3(자동) bit4(Off),호차별 객실 공기청정기 동작모드,,,,,,,,
331,0호차 공기청정기 운전실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit4(Off),호차별 운전실 공기청정기 동작모드,,,,,,,,
332,9호차 공기청정기 운전실 동작모드,1 ,bit0(강) bit1(중) bit2(약) bit4(Off),호차별 운전실 공기청정기 동작모드,,,,,,,,
333,객실등 AC1 ON,2 ,bit0(0호차) ~ bit9(9호차),호차별 객실등 AC1,,,,,,,,
335,객실등 AC2 ON,2 ,bit0(0호차) ~ bit9(9호차),호차별 객실등 AC21,,,,,,,,
337,객실등 DC ON,2 ,bit0(0호차) ~ bit9(9호차),호차별 객실등 DC,,,,,,,,
339,2호차 MCB 투입횟수,4 ,,호차별 MCB 투입횟수,,,,,,,,
343,4호차 MCB 투입횟수,4 ,,호차별 MCB 투입횟수,,,,,,,,
347,8호차 MCB 투입횟수,4 ,,호차별 MCB 투입횟수,,,,,,,,
351,예비,1 ,,,,,,,,,,
352,0호차 LIU 1계,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 LIU계,,,,,,,,
353,0호차 LIU 2계,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 LIU계,,,,,,,,
354,0호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
355,0호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
356,0호차 VDU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 VDU,,,,,,,,
357,0호차 TDR,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 TDR,,,,,,,,
358,0호차 PAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 PAC,,,,,,,,
359,0호차 PIC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 PIC,,,,,,,,
360,0호차 CCTV,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CCTV,,,,,,,,
361,0호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
362,0호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
363,0호차 BMS,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 BMS,,,,,,,,
364,0호차 SIV,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 SIV,,,,,,,,
365,0호차 FDU,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(화재),호차별 FDU,,,,,,,,
366,0호차 ATC1 1계,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit3(OFF),호차별 ATC계,,,,,,,,
367,0호차 ATC2 2계,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit3(OFF),호차별 ATC계,,,,,,,,
368,0호차 CMSB,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(BYPASS),호차별 CMSB,,,,,,,,
369,0호차 ADS,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ADS,,,,,,,,
370,0호차 IMB,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 IMB,,,,,,,,
371,0호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
372,0호차 TRS,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 TRS,,,,,,,,
373,0호차 ENC,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit3(OFF) bit4(2계 동작),호차별 ENC,,,,,,,,
374,0호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
375,0호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
376,0호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
377,0호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
378,0호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
379,0호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
380,0호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
381,0호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
382,예비,1 ,,호차별 예비,,,,,,,,
383,1호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
384,1호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
385,1호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
386,1호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
387,1호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
388,1호차 C/I,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 C/I,,,,,,,,
389,1호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
390,1호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
391,1호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
392,1호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
393,1호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
394,1호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
395,1호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
396,1호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
397,1호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
398,예비,1 ,,,,,,,,,,
399,2호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
400,2호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
401,2호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
402,2호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
403,2호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
404,2호차 C/I,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 C/I,,,,,,,,
405,2호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
406,2호차 모진보호장치,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(모진보호 장치 동작),호차별 모진보호장치,,,,,,,,
407,2호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
408,2호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
409,2호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
410,2호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
411,2호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
412,2호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
413,2호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
414,2호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
415,2호차 EDCU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EDCU,,,,,,,,
416,예비,1 ,,,,,,,,,,
417,3호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
418,3호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
419,3호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
420,3호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
421,3호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
422,3호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
423,3호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
424,3호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
425,3호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
426,3호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
427,3호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
428,3호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
429,3호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
430,3호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
431,3호차 ESK,1 ,bit0(연장급전 미투입) bit1(연장급전),호차별 ESK,,,,,,,,
432,4호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
433,4호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
434,4호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
435,4호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
436,4호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
437,4호차 C/I,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 C/I,,,,,,,,
438,4호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
439,4호차 모진보호장치,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(모진보호 장치 동작),호차별 모진보호장치,,,,,,,,
440,4호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
441,4호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
442,4호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
443,4호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
444,4호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
445,4호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
446,4호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
447,4호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
448,4호차 EDCU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EDCU,,,,,,,,
449,예비,1 ,,,,,,,,,,
450,5호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
451,5호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
452,5호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
453,5호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
454,5호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
455,5호차 BMS,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 BMS,,,,,,,,
456,5호차 SIV,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 SIV,,,,,,,,
457,5호차 CMSB,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(BYPASS),호차별 CMSB,,,,,,,,
458,5호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
459,5호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
460,5호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
461,5호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
462,5호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
463,5호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
464,5호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
465,5호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
466,5호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
467,예비,1 ,,호차별 예비,,,,,,,,
468,6호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
469,6호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
470,6호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
471,6호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
472,6호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
473,6호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
474,6호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
475,6호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
476,6호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
477,6호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
478,6호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
479,6호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
480,6호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
481,6호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
482,6호차 EDCU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EDCU,,,,,,,,
483,6호차 ESK,1 ,bit0(연장급전 미투입) bit1(연장급전),호차별 ESK,,,,,,,,
484,7호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
485,7호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
486,7호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
487,7호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
488,7호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
489,7호차 C/I,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 C/I,,,,,,,,
490,7호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
491,7호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
492,7호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
493,7호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
494,7호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
495,7호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
496,7호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
497,7호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
498,7호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
499,예비,1 ,,호차별 예비,,,,,,,,
500,8호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
501,8호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
502,8호차 CC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CC,,,,,,,,
503,8호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
504,8호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
505,8호차 C/I,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 C/I,,,,,,,,
506,8호차 EPD,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 EPD,,,,,,,,
507,8호차 모진보호장치,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(모진보호 장치 동작),호차별 모진보호장치,,,,,,,,
508,8호차 DCU L1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
509,8호차 DCU L2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
510,8호차 DCU L3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
511,8호차 DCU L4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
512,8호차 DCU R1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
513,8호차 DCU R2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
514,8호차 DCU R3,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
515,8호차 DCU R4,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 DCU,,,,,,,,
516,예비,1 ,,호차별 예비,,,,,,,,
517,9호차 LIU 1계,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 LIU계,,,,,,,,
518,9호차 LIU 2계,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 LIU계,,,,,,,,
519,9호차 ESW1,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
520,9호차 ESW2,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ESW,,,,,,,,
521,9호차 VDU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 VDU,,,,,,,,
522,9호차 TDR,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 TDR,,,,,,,,
523,9호차 PAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 PAC,,,,,,,,
524,9호차 PIC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 PIC,,,,,,,,
525,9호차 CCTV,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 CCTV,,,,,,,,
526,9호차 ECU,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ECU,,,,,,,,
527,9호차 HVAC,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 HVAC,,,,,,,,
528,9호차 BMS,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 BMS,,,,,,,,
529,9호차 SIV,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 SIV,,,,,,,,
530,9호차 FDU,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(화재),호차별 FDU,,,,,,,,
531,9호차 ATC1 1계,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit3(OFF),호차별 ATC계,,,,,,,,
532,9호차 ATC2 2계,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit3(OFF),호차별 ATC계,,,,,,,,
533,9호차 CMSB,1 ,bit0(정상) bit1(고장) bit2(통신이상) bit4(BYPASS),호차별 CMSB,,,,,,,,
534,9호차 ADS,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 ADS,,,,,,,,
535,9호차 IMB,1 ,bit0(정상) bit1(고장) bit2(통신이상),호차별 IMB,,,,,,,,
